164	2	1	7	1	192	6	222	18
165	2	1	7	2	192	6	222	18
166	2	1	7	3	192	6	222	18
167	2	1	7	4	192	6	222	18
168	2	1	7	5	192	6	222	18
169	2	1	7	6	192	6	222	18
170	2	1	7	7	192	6	222	18
171	2	1	7	8	192	6	222	18
172	2	1	7	9	164	5	194	16
173	2	1	8	0	192	6	222	18
174	2	1	8	1	192	6	222	18
175	2	1	8	2	192	6	222	18
176	2	1	8	3	192	6	222	18
177	2	1	8	4	192	6	222	18
178	2	1	8	5	192	6	222	18
179	2	1	8	6	192	6	222	18
180	2	1	8	7	192	6	222	18
181	2	1	8	8	192	6	222	18
182	2	1	8	9	100	3	120	12
183	2	1	9	1	100	3	120	12
184	2	1	9	2	164	5	194	16
185	2	1	9	3	192	6	222	18
186	2	1	9	4	226	7	262	20
187	2	1	9	5	226	7	262	20
188	2	1	9	6	226	7	262	20
189	2	1	9	7	164	5	194	16
190	2	1	9	8	100	3	120	12
194	3	0	1	2	160	6	194	18
195	3	0	1	3	432	12	486	30
196	3	0	1	4	432	12	486	30
197	3	1	1	5	192	6	222	18
198	3	1	1	6	192	6	222	18
199	3	1	1	7	192	6	222	18
200	3	1	1	8	192	6	222	18
201	3	1	1	9	164	5	194	16
202	3	0	2	0	307	10	360	26
203	3	0	2	1	160	6	194	18
204	3	0	2	2	307	10	360	26
205	3	0	2	3	432	12	486	30
206	3	0	2	4	432	12	486	30
207	3	0	2	5	432	12	486	30
208	3	1	2	6	192	6	222	18
209	3	1	2	7	192	6	222	18
210	3	1	2	8	192	6	222	18
211	3	1	2	9	226	7	262	20
213	3	0	3	0	432	12	486	30
214	3	0	3	1	432	12	486	30
215	3	0	3	2	432	12	486	30
216	3	0	3	3	432	12	486	30
217	3	0	3	4	432	12	486	30
218	3	0	3	5	432	12	486	30
219	3	1	3	6	192	6	222	18
220	3	1	3	7	192	6	222	18
221	3	1	3	8	192	6	222	18
222	3	1	3	9	192	6	222	18
223	3	1	3	10	100	3	120	12
224	3	0	4	0	432	12	486	30
225	3	0	4	1	432	12	486	30
226	3	0	4	2	432	12	486	30
227	3	0	4	3	432	12	486	30
228	3	0	4	4	432	12	486	30
229	3	0	4	5	432	12	486	30
230	3	1	4	6	192	6	222	18
231	3	1	4	7	192	6	222	18
232	3	1	4	8	192	6	222	18
233	3	1	4	9	192	6	222	18
234	3	1	4	10	164	5	194	16
235	3	1	5	0	192	6	222	18
236	3	0	5	1	432	12	486	30
237	3	0	5	2	432	12	486	30
238	3	0	5	3	432	12	486	30
239	3	1	5	4	192	6	222	18
240	3	1	5	5	192	6	222	18
241	3	1	5	6	192	6	222	18
242	3	1	5	7	192	6	222	18
243	3	1	5	8	192	6	222	18
244	3	1	5	9	192	6	222	18
245	3	1	5	10	100	3	120	12
